"","Week","StationId","Hour","Weekday_bike_out","Weekend_bike_out"
"577","1",1024,"0",0,0
"578","1",1024,"1",0,0
"579","1",1024,"2",0,0
"580","1",1024,"3",1,0
"581","1",1024,"4",0,0
"582","1",1024,"5",0,0
"583","1",1024,"6",0,0
"584","1",1024,"7",1,0
"585","1",1024,"8",0,0
"586","1",1024,"9",0,0
"587","1",1024,"10",0,0
"588","1",1024,"11",1,4
"589","1",1024,"12",3,0
"590","1",1024,"13",2,4
"591","1",1024,"14",1,0
"592","1",1024,"15",0,2
"593","1",1024,"16",2,1
"594","1",1024,"17",0,0
"595","1",1024,"18",1,1
"596","1",1024,"19",0,2
"597","1",1024,"20",1,0
"598","1",1024,"21",2,1
"599","1",1024,"22",0,0
"600","1",1024,"23",0,0
"601","1",1025,"0",0,0
"602","1",1025,"1",0,0
"603","1",1025,"2",0,0
"604","1",1025,"3",0,0
"605","1",1025,"4",0,0
"606","1",1025,"5",0,0
"607","1",1025,"6",1,0
"608","1",1025,"7",0,0
"609","1",1025,"8",2,0
"610","1",1025,"9",2,0
"611","1",1025,"10",0,0
"612","1",1025,"11",3,0
"613","1",1025,"12",0,0
"614","1",1025,"13",1,1
"615","1",1025,"14",0,0
"616","1",1025,"15",4,0
"617","1",1025,"16",1,0
"618","1",1025,"17",0,0
"619","1",1025,"18",3,0
"620","1",1025,"19",2,0
"621","1",1025,"20",0,0
"622","1",1025,"21",0,0
"623","1",1025,"22",0,2
"624","1",1025,"23",0,0
"625","1",1026,"0",0,0
"626","1",1026,"1",0,0
"627","1",1026,"2",0,0
"628","1",1026,"3",0,0
"629","1",1026,"4",0,0
"630","1",1026,"5",0,0
"631","1",1026,"6",0,0
"632","1",1026,"7",1,0
"633","1",1026,"8",0,0
"634","1",1026,"9",0,0
"635","1",1026,"10",1,1
"636","1",1026,"11",0,0
"637","1",1026,"12",1,0
"638","1",1026,"13",0,0
"639","1",1026,"14",1,0
"640","1",1026,"15",1,0
"641","1",1026,"16",3,0
"642","1",1026,"17",1,0
"643","1",1026,"18",2,0
"644","1",1026,"19",0,0
"645","1",1026,"20",0,0
"646","1",1026,"21",1,0
"647","1",1026,"22",0,0
"648","1",1026,"23",0,0
"649","1",1027,"0",0,0
"650","1",1027,"1",0,0
"651","1",1027,"2",0,0
"652","1",1027,"3",0,0
"653","1",1027,"4",0,0
"654","1",1027,"5",0,0
"655","1",1027,"6",0,0
"656","1",1027,"7",0,0
"657","1",1027,"8",0,0
"658","1",1027,"9",0,0
"659","1",1027,"10",0,0
"660","1",1027,"11",0,0
"661","1",1027,"12",1,0
"662","1",1027,"13",1,0
"663","1",1027,"14",0,2
"664","1",1027,"15",5,0
"665","1",1027,"16",3,1
"666","1",1027,"17",0,0
"667","1",1027,"18",0,0
"668","1",1027,"19",3,2
"669","1",1027,"20",1,0
"670","1",1027,"21",0,0
"671","1",1027,"22",3,0
"672","1",1027,"23",0,0
"673","1",1028,"0",0,0
"674","1",1028,"1",0,0
