"","Week","StationId","WeatherRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"355","2",1038,"2",0,0,0,0,0
"356","2",1038,"3",0,0,0,0,0
"357","2",1039,"0",7,5,0,2,0
"358","2",1039,"1",8.66666666666667,4.66666666666667,0,2.83333333333333,1.16666666666667
"359","2",1039,"2",0,0,0,0,0
"360","2",1039,"3",0,0,0,0,0
"361","2",1040,"0",6,6,0,0,0
"362","2",1040,"1",5,2,0,2.83333333333333,0.166666666666667
"363","2",1040,"2",0,0,0,0,0
"364","2",1040,"3",0,0,0,0,0
"365","2",1041,"0",14,4,0,6,4
"366","2",1041,"1",10.8333333333333,4.16666666666667,0,6.16666666666667,0.5
"367","2",1041,"2",0,0,0,0,0
"368","2",1041,"3",0,0,0,0,0
"369","2",1042,"0",5,5,0,0,0
"370","2",1042,"1",1.66666666666667,1.66666666666667,0,0,0
"371","2",1042,"2",0,0,0,0,0
"372","2",1042,"3",0,0,0,0,0
"373","2",1043,"0",5,3,0,2,0
"374","2",1043,"1",2.33333333333333,1.16666666666667,0,1.16666666666667,0
"375","2",1043,"2",0,0,0,0,0
"376","2",1043,"3",0,0,0,0,0
"377","2",1044,"0",10,10,0,0,0
"378","2",1044,"1",4.16666666666667,3.33333333333333,0.166666666666667,0.5,0.166666666666667
"379","2",1044,"2",0,0,0,0,0
"380","2",1044,"3",0,0,0,0,0
"381","2",1045,"0",35,31,0,3,1
"382","2",1045,"1",21.6666666666667,16.8333333333333,0,4.83333333333333,0
"383","2",1045,"2",0,0,0,0,0
"384","2",1045,"3",0,0,0,0,0
"385","2",1046,"0",10,8,0,2,0
"386","2",1046,"1",7,4.16666666666667,0,2.83333333333333,0
"387","2",1046,"2",0,0,0,0,0
"388","2",1046,"3",0,0,0,0,0
"389","2",1047,"0",2,1,0,1,0
"390","2",1047,"1",6.5,4.66666666666667,0,1.83333333333333,0
"391","2",1047,"2",0,0,0,0,0
"392","2",1047,"3",0,0,0,0,0
"393","2",1048,"0",15,9,0,6,0
"394","2",1048,"1",10.8333333333333,6.33333333333333,0.166666666666667,4.33333333333333,0
"395","2",1048,"2",0,0,0,0,0
"396","2",1048,"3",0,0,0,0,0
"397","2",1049,"0",22,16,0,6,0
"398","2",1049,"1",10.5,5.33333333333333,0,5.16666666666667,0
"399","2",1049,"2",0,0,0,0,0
"400","2",1049,"3",0,0,0,0,0
"401","3",1000,"0",21.3333333333333,16.6666666666667,0,4.66666666666667,0
"402","3",1000,"1",16.25,12.25,0,4,0
"403","3",1000,"2",0,0,0,0,0
"404","3",1000,"3",0,0,0,0,0
"405","3",1001,"0",23.6666666666667,17.3333333333333,0,6,0.333333333333333
"406","3",1001,"1",15.25,9.5,0,5.75,0
"407","3",1001,"2",0,0,0,0,0
"408","3",1001,"3",0,0,0,0,0
"409","3",1002,"0",6,3.33333333333333,0,2.66666666666667,0
"410","3",1002,"1",7,4.25,0,2.75,0
"411","3",1002,"2",0,0,0,0,0
"412","3",1002,"3",0,0,0,0,0
"413","3",1003,"0",8,5.33333333333333,0,2.66666666666667,0
"414","3",1003,"1",5.25,3,0,2.25,0
"415","3",1003,"2",0,0,0,0,0
"416","3",1003,"3",0,0,0,0,0
"417","3",1004,"0",15.6666666666667,11.6666666666667,0,4,0
"418","3",1004,"1",5,1.5,0,3.5,0
"419","3",1004,"2",0,0,0,0,0
"420","3",1004,"3",0,0,0,0,0
"421","3",1005,"0",8,5.66666666666667,0,2.33333333333333,0
"422","3",1005,"1",4,1.5,0,2.5,0
"423","3",1005,"2",0,0,0,0,0
"424","3",1005,"3",0,0,0,0,0
"425","3",1006,"0",13,8.33333333333333,0,4.33333333333333,0.333333333333333
"426","3",1006,"1",8.5,5.25,0,3.25,0
"427","3",1006,"2",0,0,0,0,0
"428","3",1006,"3",0,0,0,0,0
"429","3",1007,"0",7.33333333333333,2,0,4.66666666666667,0.666666666666667
"430","3",1007,"1",6.5,2.25,0,4.25,0
"431","3",1007,"2",0,0,0,0,0
"432","3",1007,"3",0,0,0,0,0
