"","Quarter","Week","Hour","Weekday_bike_out","Weekend_bike_out"
"274","3","12","9",0.316923076923077,0.466153846153846
"275","3","12","10",0.313846153846154,0.761538461538462
"276","3","12","11",0.415692307692308,0.951538461538462
"277","3","12","12",0.542769230769231,0.993846153846154
"278","3","12","13",0.482461538461538,1.03846153846154
"279","3","12","14",0.452923076923077,1.07153846153846
"280","3","12","15",0.478153846153846,0.960769230769231
"281","3","12","16",0.604,0.909230769230769
"282","3","12","17",0.854153846153846,0.722307692307692
"283","3","12","18",0.733846153846154,0.67
"284","3","12","19",0.586153846153846,0.569230769230769
"285","3","12","20",0.417538461538462,0.376923076923077
"286","3","12","21",0.266461538461538,0.250769230769231
"287","3","12","22",0.203692307692308,0.246153846153846
"288","3","12","23",0.124307692307692,0.143076923076923
"289","3","13","0",0.0766153846153846,0.178461538461538
"290","3","13","1",0.0427692307692308,0.123846153846154
"291","3","13","2",0.0255384615384615,0.0676923076923077
"292","3","13","3",0.00830769230769231,0.0330769230769231
"293","3","13","4",0.00861538461538462,0.0176923076923077
"294","3","13","5",0.0510769230769231,0.0184615384615385
"295","3","13","6",0.0741538461538462,0.0553846153846154
"296","3","13","7",0.291692307692308,0.153076923076923
"297","3","13","8",0.427692307692308,0.256153846153846
"298","3","13","9",0.316923076923077,0.466153846153846
"299","3","13","10",0.313846153846154,0.761538461538462
"300","3","13","11",0.415692307692308,0.951538461538462
"301","3","13","12",0.542769230769231,0.993846153846154
"302","3","13","13",0.482461538461538,1.03846153846154
"303","3","13","14",0.452923076923077,1.07153846153846
"304","3","13","15",0.478153846153846,0.960769230769231
"305","3","13","16",0.604,0.909230769230769
"306","3","13","17",0.854153846153846,0.722307692307692
"307","3","13","18",0.733846153846154,0.67
"308","3","13","19",0.586153846153846,0.569230769230769
"309","3","13","20",0.417538461538462,0.376923076923077
"310","3","13","21",0.266461538461538,0.250769230769231
"311","3","13","22",0.203692307692308,0.246153846153846
"312","3","13","23",0.124307692307692,0.143076923076923
"313","3","14","0",0.0766153846153846,0.178461538461538
"314","3","14","1",0.0427692307692308,0.123846153846154
"315","3","14","2",0.0255384615384615,0.0676923076923077
"316","3","14","3",0.00830769230769231,0.0330769230769231
"317","3","14","4",0.00861538461538462,0.0176923076923077
"318","3","14","5",0.0510769230769231,0.0184615384615385
"319","3","14","6",0.0741538461538462,0.0553846153846154
"320","3","14","7",0.291692307692308,0.153076923076923
"321","3","14","8",0.427692307692308,0.256153846153846
"322","3","14","9",0.316923076923077,0.466153846153846
"323","3","14","10",0.313846153846154,0.761538461538462
"324","3","14","11",0.415692307692308,0.951538461538462
"325","3","14","12",0.542769230769231,0.993846153846154
"326","3","14","13",0.482461538461538,1.03846153846154
"327","3","14","14",0.452923076923077,1.07153846153846
"328","3","14","15",0.478153846153846,0.960769230769231
"329","3","14","16",0.604,0.909230769230769
"330","3","14","17",0.854153846153846,0.722307692307692
"331","3","14","18",0.733846153846154,0.67
"332","3","14","19",0.586153846153846,0.569230769230769
"333","3","14","20",0.417538461538462,0.376923076923077
"334","3","14","21",0.266461538461538,0.250769230769231
"335","3","14","22",0.203692307692308,0.246153846153846
"336","3","14","23",0.124307692307692,0.143076923076923
"337","4","15","0",0.0366153846153846,0.0707692307692308
"338","4","15","1",0.0175384615384615,0.0484615384615385
"339","4","15","2",0.0166153846153846,0.0392307692307692
"340","4","15","3",0.00615384615384615,0.0107692307692308
"341","4","15","4",0.00584615384615385,0.00461538461538462
"342","4","15","5",0.0313846153846154,0.00615384615384615
"343","4","15","6",0.0489230769230769,0.0138461538461538
"344","4","15","7",0.131692307692308,0.07
"345","4","15","8",0.212923076923077,0.0738461538461539
"346","4","15","9",0.168923076923077,0.15
"347","4","15","10",0.161846153846154,0.235384615384615
"348","4","15","11",0.216615384615385,0.306153846153846
"349","4","15","12",0.268,0.345384615384615
"350","4","15","13",0.238461538461538,0.376923076923077
"351","4","15","14",0.237230769230769,0.374615384615385
"352","4","15","15",0.245846153846154,0.396923076923077
"353","4","15","16",0.317846153846154,0.365384615384615
"354","4","15","17",0.361846153846154,0.235384615384615
"355","4","15","18",0.24,0.17
"356","4","15","19",0.151076923076923,0.113846153846154
"357","4","15","20",0.117230769230769,0.0892307692307692
"358","4","15","21",0.105846153846154,0.0769230769230769
"359","4","15","22",0.0784615384615385,0.0530769230769231
"360","4","15","23",0.0609230769230769,0.0415384615384615
"361","4","16","0",0.0366153846153846,0.0707692307692308
"362","4","16","1",0.0175384615384615,0.0484615384615385
"363","4","16","2",0.0166153846153846,0.0392307692307692
"364","4","16","3",0.00615384615384615,0.0107692307692308
"365","4","16","4",0.00584615384615385,0.00461538461538462
"366","4","16","5",0.0313846153846154,0.00615384615384615
"367","4","16","6",0.0489230769230769,0.0138461538461538
"368","4","16","7",0.131692307692308,0.07
"369","4","16","8",0.212923076923077,0.0738461538461539
"370","4","16","9",0.168923076923077,0.15
"371","4","16","10",0.161846153846154,0.235384615384615
"372","4","16","11",0.216615384615385,0.306153846153846
"373","4","16","12",0.268,0.345384615384615
"374","4","16","13",0.238461538461538,0.376923076923077
"375","4","16","14",0.237230769230769,0.374615384615385
"376","4","16","15",0.245846153846154,0.396923076923077
"377","4","16","16",0.317846153846154,0.365384615384615
"378","4","16","17",0.361846153846154,0.235384615384615
"379","4","16","18",0.24,0.17
"380","4","16","19",0.151076923076923,0.113846153846154
"381","4","16","20",0.117230769230769,0.0892307692307692
"382","4","16","21",0.105846153846154,0.0769230769230769
"383","4","16","22",0.0784615384615385,0.0530769230769231
"384","4","16","23",0.0609230769230769,0.0415384615384615
"385","4","17","0",0.0366153846153846,0.0707692307692308
"386","4","17","1",0.0175384615384615,0.0484615384615385
"387","4","17","2",0.0166153846153846,0.0392307692307692
"388","4","17","3",0.00615384615384615,0.0107692307692308
"389","4","17","4",0.00584615384615385,0.00461538461538462
"390","4","17","5",0.0313846153846154,0.00615384615384615
"391","4","17","6",0.0489230769230769,0.0138461538461538
"392","4","17","7",0.131692307692308,0.07
"393","4","17","8",0.212923076923077,0.0738461538461539
"394","4","17","9",0.168923076923077,0.15
"395","4","17","10",0.161846153846154,0.235384615384615
"396","4","17","11",0.216615384615385,0.306153846153846
"397","4","17","12",0.268,0.345384615384615
"398","4","17","13",0.238461538461538,0.376923076923077
"399","4","17","14",0.237230769230769,0.374615384615385
"400","4","17","15",0.245846153846154,0.396923076923077
"401","4","17","16",0.317846153846154,0.365384615384615
"402","4","17","17",0.361846153846154,0.235384615384615
"403","4","17","18",0.24,0.17
"404","4","17","19",0.151076923076923,0.113846153846154
"405","4","17","20",0.117230769230769,0.0892307692307692
"406","4","17","21",0.105846153846154,0.0769230769230769
"407","4","17","22",0.0784615384615385,0.0530769230769231
"408","4","17","23",0.0609230769230769,0.0415384615384615
"409","4","18","0",0.0366153846153846,0.0707692307692308
"410","4","18","1",0.0175384615384615,0.0484615384615385
"411","4","18","2",0.0166153846153846,0.0392307692307692
"412","4","18","3",0.00615384615384615,0.0107692307692308
"413","4","18","4",0.00584615384615385,0.00461538461538462
"414","4","18","5",0.0313846153846154,0.00615384615384615
"415","4","18","6",0.0489230769230769,0.0138461538461538
"416","4","18","7",0.131692307692308,0.07
"417","4","18","8",0.212923076923077,0.0738461538461539
"418","4","18","9",0.168923076923077,0.15
"419","4","18","10",0.161846153846154,0.235384615384615
"420","4","18","11",0.216615384615385,0.306153846153846
"421","4","18","12",0.268,0.345384615384615
"422","4","18","13",0.238461538461538,0.376923076923077
"423","4","18","14",0.237230769230769,0.374615384615385
"424","4","18","15",0.245846153846154,0.396923076923077
"425","4","18","16",0.317846153846154,0.365384615384615
"426","4","18","17",0.361846153846154,0.235384615384615
"427","4","18","18",0.24,0.17
"428","4","18","19",0.151076923076923,0.113846153846154
"429","4","18","20",0.117230769230769,0.0892307692307692
"430","4","18","21",0.105846153846154,0.0769230769230769
"431","4","18","22",0.0784615384615385,0.0530769230769231
"432","4","18","23",0.0609230769230769,0.0415384615384615
"433","4","19","0",0.0366153846153846,0.0707692307692308
"434","4","19","1",0.0175384615384615,0.0484615384615385
"435","4","19","2",0.0166153846153846,0.0392307692307692
"436","4","19","3",0.00615384615384615,0.0107692307692308
"437","4","19","4",0.00584615384615385,0.00461538461538462
"438","4","19","5",0.0313846153846154,0.00615384615384615
"439","4","19","6",0.0489230769230769,0.0138461538461538
"440","4","19","7",0.131692307692308,0.07
"441","4","19","8",0.212923076923077,0.0738461538461539
"442","4","19","9",0.168923076923077,0.15
"443","4","19","10",0.161846153846154,0.235384615384615
"444","4","19","11",0.216615384615385,0.306153846153846
"445","4","19","12",0.268,0.345384615384615
"446","4","19","13",0.238461538461538,0.376923076923077
"447","4","19","14",0.237230769230769,0.374615384615385
"448","4","19","15",0.245846153846154,0.396923076923077
"449","4","19","16",0.317846153846154,0.365384615384615
"450","4","19","17",0.361846153846154,0.235384615384615
"451","4","19","18",0.24,0.17
"452","4","19","19",0.151076923076923,0.113846153846154
"453","4","19","20",0.117230769230769,0.0892307692307692
"454","4","19","21",0.105846153846154,0.0769230769230769
"455","4","19","22",0.0784615384615385,0.0530769230769231
"456","4","19","23",0.0609230769230769,0.0415384615384615
"457","4","20","0",0.0366153846153846,0.0707692307692308
"458","4","20","1",0.0175384615384615,0.0484615384615385
"459","4","20","2",0.0166153846153846,0.0392307692307692
"460","4","20","3",0.00615384615384615,0.0107692307692308
"461","4","20","4",0.00584615384615385,0.00461538461538462
"462","4","20","5",0.0313846153846154,0.00615384615384615
"463","4","20","6",0.0489230769230769,0.0138461538461538
"464","4","20","7",0.131692307692308,0.07
"465","4","20","8",0.212923076923077,0.0738461538461539
"466","4","20","9",0.168923076923077,0.15
"467","4","20","10",0.161846153846154,0.235384615384615
"468","4","20","11",0.216615384615385,0.306153846153846
"469","4","20","12",0.268,0.345384615384615
"470","4","20","13",0.238461538461538,0.376923076923077
"471","4","20","14",0.237230769230769,0.374615384615385
"472","4","20","15",0.245846153846154,0.396923076923077
"473","4","20","16",0.317846153846154,0.365384615384615
"474","4","20","17",0.361846153846154,0.235384615384615
"475","4","20","18",0.24,0.17
"476","4","20","19",0.151076923076923,0.113846153846154
"477","4","20","20",0.117230769230769,0.0892307692307692
"478","4","20","21",0.105846153846154,0.0769230769230769
"479","4","20","22",0.0784615384615385,0.0530769230769231
"480","4","20","23",0.0609230769230769,0.0415384615384615
"481","4","21","0",0.0366153846153846,0.0707692307692308
"482","4","21","1",0.0175384615384615,0.0484615384615385
